77;T-Motor MN605-S kv170;327;12;22x6.6;0.302133335;1.60487;8.116
78;T-Motor MN605-S kv320;216;6;22x6.6;0.79186;3.091199;6.273
79;T-Motor U7-V2.0 kv280;255;6;22x6.6;1.206014;1.885924;4.64
80;MN7005 kv115;188;12;24x7.2;0.4006187;1.010482;4.783
81;MN7005 kv230;188;6;24x7.2;0.944487;1.763142;4.691
82;T-Motor MN701-S kv135;340;12;24x7.2;0.30702;1.30268;8.004
83;T-Motor MN701-S kv280;346;6;24x7.2;0.664;2.645;7.664
84;P80 kv120;650;12;26x8.5;0.17403;1.5879;10.813
85;T-Motor MN701-S kv135;340;12;26x8.5;0.35388;0.896824;9.435
86;T-Motor MN701-S kv280;346;6;26x8.5;0.7804;2.1918;8.468
87;T-Motor MN705-S kv125;450;12;26x8.5;0.23494;1.36035;10.345
88;T-Motor MN705-S kv260;450;6;26x8.5;0.56195;2.79958;9.334
89;T-Motor U11 kv120;730;12;26x8.5;0.190017;1.510129;12.42
90;T-Motor U11 kv90;730;12;26x8.5;0.2201;1.286975;7.375
91;P80 kv120;650;12;27x8.8;0.1623;1.5791;12.443
92;T-Motor MN705-S kv125;450;12;27x8.8;0.21206;1.36173;11.326
93;T-Motor MN705-S kv260;450;6;27x8.8;0.537188;2.59828;10.031
94;T-Motor U11 kv120;730;12;27x8.8;0.2535797;0.884365;12.38
95;T-Motor U11 kv90;730;12;27x8.8;0.210324;1.220976;8.305
96;P80 kv100;650;12;28x9.2;0.1732;1.3505;10.8
97;P80 kv120;650;12;28x9.2;0.156265;1.570514;13.61
98;P80 kv170;640;6;28x9.2;0.3679;2.7673;8.364
99;T-Motor U11 kv120;730;12;28x9.2;0.28661583;0.75121;12.34
100;T-Motor U11 kv90;730;12;28x9.2;0.18886;1.2693667;9.315
101;P80 kv100;650;12;29x9.5;0.1561;1.3295;12.29
102;P80 kv120;650;12;29x9.5;0.15051;1.51058;15.11
103;P80 kv170;640;6;29x9.5;0.3639;2.6096;9.225
